token,entity
gonads,body_part_organ_or_organ_component
prednisolone,drug
arabinosylcytosine,pharmacologic_substance
clonidine,pharmacologic_substance
ara-h,drug
6-chloropurine,pharmacologic_substance
immunotoxin,pharmacologic_substance
thyrotoxicosis,disease
nail,body_part_organ_or_organ_component
proctitis,disease_or_syndrome
stomachs,body_part_organ_or_organ_component
isopilocarpine,pharmacologic_substance
eprex,pharmacologic_substance
angiomyolipoma,neoplastic_process
gastroparesis,disease_or_syndrome
ezetimibe,drug
valdecoxib,drug
esomeprazole,pharmacologic_substance
methylparaben,drug
androgenization,disease
sulfathiazole,pharmacologic_substance
2-chloropyridine,pharmacologic_substance
aplidin,pharmacologic_substance
ulna,anatomy
lgd1069,drug
gamma-terpinene,pharmacologic_substance
microfracture,disease
articaine,drug
lisdexamfetamine,pharmacologic_substance
ketoprofen,drug
nab-paclitaxel,pharmacologic_substance
ledipasvir,drug
acanthocytosis,disease
tegobuvir,drug
sulforidazine,pharmacologic_substance
acarbose,pharmacologic_substance
alexidine,pharmacologic_substance
radiculopathy,disease
formoterol,pharmacologic_substance
epc,pharmacologic_substance
tenosynovitis,disease_or_syndrome
sphalerite,drug
buserelin,pharmacologic_substance
fcdt,disease
epogen,drug
trovafloxacin,drug
gc-1,pharmacologic_substance
bergaptol,pharmacologic_substance
d-tubocurarine,drug
cordycepin,drug
gmpcpp,drug
guidor,pharmacologic_substance
8-mop,drug
benztropine,pharmacologic_substance
afobazole,pharmacologic_substance
azd4547,drug
buparvaquone,drug
gliptins,pharmacologic_substance
iclusig,pharmacologic_substance
ipratropium,drug
cpi-613,pharmacologic_substance
liquiritigenin,pharmacologic_substance
pityriasis,disease
oxazolinodoxorubicin,drug
coxa,anatomy
heparinoid,pharmacologic_substance
tripalmitin,drug
manna,pharmacologic_substance
barbital,pharmacologic_substance
lipegfilgrastim,drug
daq,drug
5-iododeoxycytidine,pharmacologic_substance
anamorelin,drug
hydroxybupropion,drug
oleth-5,drug
piedra,disease_or_syndrome
hcpt,drug
npi-2358,drug
peg-intron,drug
ly2875358,pharmacologic_substance
mucolytics,drug
bti-a-404,pharmacologic_substance
enviroxime,drug
2-acetamido-5-nitrothiazole,drug
penicillamine,pharmacologic_substance
stomatitis,disease_or_syndrome
dexamethasone,pharmacologic_substance
fowlpox,disease
edu,drug
chloroquine,pharmacologic_substance
sclc,neoplastic_process
carcinosarcomas,disease
thc,pharmacologic_substance
thyrotropin,drug
diethyldithiocarbamate,pharmacologic_substance
hemoglobinopathies,disease
pneumonias,disease_or_syndrome
alx40-4c,pharmacologic_substance
lamivudine,drug
gamma-a,drug
cymbalta,pharmacologic_substance
mepivacaine,drug
alvimopan,pharmacologic_substance
trastuzumab,drug
diclofenac,pharmacologic_substance
otosclerosis,disease_or_syndrome
lonafarnib,pharmacologic_substance
sargramostim,pharmacologic_substance
mln518,pharmacologic_substance
vindolinine,drug
meglumine,drug
drimane,pharmacologic_substance
1-beta-ribofuranosylbrunfelsamidine,pharmacologic_substance
feathers,body_part_organ_or_organ_component
tromethamine,drug
actinonin,pharmacologic_substance
depo-testosterone,drug
empyema,disease
luspatercept,drug
pembrolizumab,pharmacologic_substance
cpg-1826,pharmacologic_substance
f1933,drug
synostosis,anatomy
android,drug
zaleplon,pharmacologic_substance
microcystin-lr,pharmacologic_substance
botox,pharmacologic_substance
arteannuin,pharmacologic_substance
depo-medrone,drug
abemaciclib,drug
antivenoms,drug
pazopanib,drug
apap,pharmacologic_substance
amebiasis,disease
comb,anatomy
tuberculomas,disease_or_syndrome
hydrothorax,disease
sulfamethazine,drug
l-tyrosine,pharmacologic_substance
vx-809,pharmacologic_substance
pallidum,body_part_organ_or_organ_component
azomycin,drug
alpha-angelicalactone,pharmacologic_substance
herbarin,drug
betahistine,pharmacologic_substance
pinitol,pharmacologic_substance
norcantharidin,drug
anthocyanidin,pharmacologic_substance
uromitexan,pharmacologic_substance
retigabine,pharmacologic_substance
terramycin,drug
clonazepam,pharmacologic_substance
basimglurant,pharmacologic_substance
achalasia,disease_or_syndrome
pomalyst,pharmacologic_substance
londax,pharmacologic_substance
epibatidine,pharmacologic_substance
incretins,pharmacologic_substance
myxothiazol,drug
5-nitro-gamma-tocopherol,drug
gamma-decalactone,drug
weiganli,drug
thioarsenite,drug
ichthammol,pharmacologic_substance
chilblain,disease_or_syndrome
at-125,pharmacologic_substance
trehalose-6-phosphate,drug
indo-1,drug
thrombocytopenia,disease_or_syndrome
polycythemia,disease
lysozyme,drug
gamma-interferon,pharmacologic_substance
glycocholate,drug
glycerol,drug
enprofylline,drug
testicles,body_part_organ_or_organ_component
bleomycin,drug
leucovorin,pharmacologic_substance
2-aminofluorene,drug
ganglioneuroblastoma,neoplastic_process
putamen,anatomy
myleran,drug
vp16,pharmacologic_substance
heartburn,disease
methasquin,pharmacologic_substance
hydralazine,pharmacologic_substance
alpha-methyl-p-tyrosine,drug
arabinogalactan,pharmacologic_substance
naltrexone,pharmacologic_substance
itopride,drug
exenatide,pharmacologic_substance
pradefovir,pharmacologic_substance
lutenyl,pharmacologic_substance
n-propargyl,drug
ponv,disease
nephrons,anatomy
cholecystokinin,pharmacologic_substance
cefprozil,drug
decortin,drug
ampa,pharmacologic_substance
ms-275,pharmacologic_substance
scapulae,body_part_organ_or_organ_component
cyclopent,pharmacologic_substance
zstk474,drug
emtansine,pharmacologic_substance
famotidine,pharmacologic_substance
grazoprevir,pharmacologic_substance
z-fa-fmk,pharmacologic_substance
zileuton,drug
clomiphene,drug
hao472,drug
poromatosis,neoplastic_process
4-hydroxyderricin,pharmacologic_substance
lactofen,drug
benzophenone-3,drug
3-tyrosine,drug
n-acetyltryptophan,drug
fucoidan,pharmacologic_substance
sobuzoxane,drug
ytterbium,drug
methylsalicylate,pharmacologic_substance
agi-6780,pharmacologic_substance
uc84,pharmacologic_substance
dioc2,pharmacologic_substance
bo-2502a,drug
ibp,pharmacologic_substance
vavain,pharmacologic_substance
paeoniflorin,drug
negletein,pharmacologic_substance
bupranolol,pharmacologic_substance
prothazin,pharmacologic_substance
salicylates,drug
pc60,drug
asunaprevir,pharmacologic_substance
ursodiol,pharmacologic_substance
pj34,pharmacologic_substance
bgb324,pharmacologic_substance
aldesleukin,drug
11-dehydrocorticosterone,drug
brivaracetam,drug
larotaxel,pharmacologic_substance
dfna49,disease
ps-341,drug
rhinophyma,disease_or_syndrome
aee788,drug
formetanate,drug
alovudine,pharmacologic_substance
hematometra,disease
cdri-08,drug
varicoceles,disease
carob,pharmacologic_substance
hirudoid,drug
bimagrumab,pharmacologic_substance
3-o-methyl-d-chiro-inositol,pharmacologic_substance
asthenozoospermia,disease
7-hydroxyflavone,pharmacologic_substance
marrow,body_part_organ_or_organ_component
charcoal,pharmacologic_substance
mgbg,drug
emodin,pharmacologic_substance
hemangiomas,neoplastic_process
ara-a,drug
flupirtine,drug
toxoplasmosis,disease
methyluracil,drug
indole,drug
a10,pharmacologic_substance
ear,anatomy
dermorphin,pharmacologic_substance
fibroadenoma,neoplastic_process
ethylhydrazine,drug
resazurin,pharmacologic_substance
erlotinib,drug
calphostin,drug
chitosan,pharmacologic_substance
amrubicinol,drug
palifermin,drug
arsobal,pharmacologic_substance
fluoro-jade,drug
dequalinium,pharmacologic_substance
p-23,drug
methylxanthine,pharmacologic_substance
dgaba,drug
4-methylumbelliferone,drug
astroglioma,neoplastic_process
lipoma,neoplastic_process
neuroma,neoplastic_process
elephantiasis,disease_or_syndrome
c85,pharmacologic_substance
epacadostat,drug
mefloquine,drug
paliperidone,drug
ozagrel,drug
tigecycline,drug
fosetyl-al,drug
telaprevir,drug
apomine,drug
zelmac,pharmacologic_substance
amoxapine,drug
pertuzumab,pharmacologic_substance
philtrum,body_part_organ_or_organ_component
thpp,pharmacologic_substance
vasculitides,disease_or_syndrome
patisiran,drug
foscavir,pharmacologic_substance
picloxydine,pharmacologic_substance
4sc-202,drug
zeaxanthin,drug
golimumab,drug
tiamulin,drug
cicatrix,disease
drowning,disease
z-val-ala-asp-ch2f,drug
leiomyosarcomas,neoplastic_process
hyoscyamine,drug
cilengitide,drug
indisulam,drug
undecylprodigiosin,drug
progeria,disease
cgp62221,pharmacologic_substance
deltarasin,drug
kyprolis,pharmacologic_substance
azd1152,drug
verruca,disease
obafluorin,pharmacologic_substance
ndhs,drug
ak-2123,drug
mal-farnesol,pharmacologic_substance
gf-109203x,pharmacologic_substance
mepitiostane,pharmacologic_substance
beta-aescin,drug
volvulus,disease_or_syndrome
majorynolide,pharmacologic_substance
butyramide,drug
syringofibroadenoma,neoplastic_process
oxycontin,pharmacologic_substance
galantamine,pharmacologic_substance
lincocin,drug
hgi2,drug
5-methyltetrahydrohomofolate,pharmacologic_substance
alpha-flupenthixol,pharmacologic_substance
dextrocardia,anatomy
ativan,pharmacologic_substance
encephalocele,anatomy
leukemia,disease
caffeine,pharmacologic_substance
moxisylyte,drug
hy-770,drug
hemangiosarcomas,neoplastic_process
prostate,body_part_organ_or_organ_component
cortisol,drug
dtpa,drug
deformity,anatomy
l-serine,pharmacologic_substance
metyrapone,pharmacologic_substance
pericardium,body_part_organ_or_organ_component
indirubin,drug
retinamide,pharmacologic_substance
ap-7,drug
choriogonadotropin,pharmacologic_substance
oncodazole,drug
tak-220,pharmacologic_substance
bidil,drug
aminoguanidine,pharmacologic_substance
dx-9065a,pharmacologic_substance
h-9,drug
methyl-gag,drug
p-octopamine,drug
propofol,drug
mkt-077,drug
prinomastat,drug
carbogen,drug
trimethylene,pharmacologic_substance
ergosterol,drug
ddi,drug
vorapaxar,drug
naproxen,drug
prostatitis,disease
sns-314,pharmacologic_substance
eravacycline,pharmacologic_substance
sofosbuvir,pharmacologic_substance
pemirolast,pharmacologic_substance
flavonol,pharmacologic_substance
lipoblastomas,neoplastic_process
triethylenetetramine,drug
harmane,pharmacologic_substance
fosinopril,pharmacologic_substance
osteophyte,disease
orchitis,disease_or_syndrome
ergolide,pharmacologic_substance
osteitis,disease
angiomatosis,disease_or_syndrome
nsc-338720,pharmacologic_substance
mitindomide,pharmacologic_substance
sb-203580,drug
orphenadrine,drug
4-hydroperoxyifosfamide,pharmacologic_substance
z-val-ala-asp-ch2f,pharmacologic_substance
carboxyphenylglycine,pharmacologic_substance
azd7507,drug
exotropia,disease
hemangioblastoma,disease
esodeviation,disease
simmiparib,drug
epz015666,pharmacologic_substance
3-pyridinecarboxamide,drug
arg-gly-asp-ser,drug
osteochondrosis,disease_or_syndrome
naldemedine,drug
genitals,anatomy
arry-520,pharmacologic_substance
tak-659,pharmacologic_substance
astroblastoma,neoplastic_process
calcifediol,pharmacologic_substance
sulfisomidine,pharmacologic_substance
bromocriptin,pharmacologic_substance
n-acetylsphingosine,drug
betaferon,pharmacologic_substance
4-oht,pharmacologic_substance
lapuleucel-t,pharmacologic_substance
voclosporin,pharmacologic_substance
cefetamet,drug
procytox,drug
santonin,pharmacologic_substance
corynanthine,drug
streptokinase,pharmacologic_substance
propyphenazone,drug
amitraz,drug
tok-001,pharmacologic_substance
3-glutathionyl-4-hydroxynonanal,drug
fivb,pharmacologic_substance
stemofoline,drug
pcv10,drug
prolactinoma,disease
formaldehyde,drug
antisera,drug
nsc-347512,pharmacologic_substance
tcn-p,pharmacologic_substance
glucose,drug
azacitidine,pharmacologic_substance
progestogens,drug
selenium,pharmacologic_substance
benzodiazepine,pharmacologic_substance
chlorhexidine,pharmacologic_substance
glycosidases,drug
pericarditis,disease
cough,disease
rauwolscine,pharmacologic_substance
rhabdomyosarcomas,neoplastic_process
ketotifen,drug
triolein,pharmacologic_substance
mncl2,drug
estriol,pharmacologic_substance
meccnu,pharmacologic_substance
tipranavir,pharmacologic_substance
lumiracoxib,drug
levodopa,drug
oxybutynin,drug
methicillin,drug
rad001,drug
tegafur,pharmacologic_substance
arteriole,body_part_organ_or_organ_component
fungizone,drug
mcnu,pharmacologic_substance
decamethonium,pharmacologic_substance
glimepiride,pharmacologic_substance
floxacillin,drug
niclosamide,drug
liraglutide,pharmacologic_substance
enalaprilat,drug
betulin,pharmacologic_substance
anxiolytics,drug
maxidex,drug
chylothorax,disease_or_syndrome
foretinib,drug
amg900,pharmacologic_substance
90y-dota-biotin,drug
bexarotene,drug
desmoid,disease
ngr-htnf,drug
bp-1-102,drug
saccule,anatomy
betacarotene,pharmacologic_substance
cardia,anatomy
pseudoarthrosis,disease
ecgonine,pharmacologic_substance
proventriculus,body_part_organ_or_organ_component
didox,drug
pd-089828,pharmacologic_substance
cyclazocine,pharmacologic_substance
cyclopropylphenylalanine,drug
15-deoxygoyazensolide,pharmacologic_substance
bms309403,pharmacologic_substance
nutlin-3a,drug
hmb-pp,drug
isovanillin,pharmacologic_substance
daq,pharmacologic_substance
eosinophilias,disease_or_syndrome
gzd856,pharmacologic_substance
oxydol,drug
hochu-ekki-to,pharmacologic_substance
fp-2,pharmacologic_substance
polyneuropathies,disease
psach,anatomy
ganirelix,pharmacologic_substance
aplidine,drug
skf38393,pharmacologic_substance
op-1206,drug
s-nitroso-n-acetylpenicillamine,pharmacologic_substance
fainting,disease
ortataxel,drug
mgn-3,pharmacologic_substance
cys-lt,drug
lgmd2f,disease
indatraline,pharmacologic_substance
salannin,drug
reparixin,drug
eperythrozoonosis,disease
9-oh-risperidone,pharmacologic_substance
d-501036,pharmacologic_substance
vpc23019,pharmacologic_substance
udders,body_part_organ_or_organ_component
rinderpest,disease_or_syndrome
pergolide,drug
mifamurtide,pharmacologic_substance
nylidrin,drug
ly309887,pharmacologic_substance
treanda,drug
vernadite,drug
atll,disease
aead,pharmacologic_substance
preleukemia,disease
5-bromodeoxyuridine,pharmacologic_substance
ulcers,disease
aortitis,disease_or_syndrome
leukoencephalopathy,disease_or_syndrome
antioxidants,pharmacologic_substance
hemangioma,disease
knee,anatomy
ethylhydrazine,pharmacologic_substance
hallucinogens,drug
erythremia,disease
sotalol,pharmacologic_substance
darifenacin,drug
ar-c68397aa,drug
mesotheliomas,disease
tacrolimus,drug
nds,drug
dids,drug
harman,drug
netropsin,drug
am-580,pharmacologic_substance
leishmaniasis,disease
phenformin,drug
pgf2alpha,drug
mctd,disease
hypogonadism,disease_or_syndrome
gabazine,pharmacologic_substance
sew2871,drug
enrofloxacin,drug
guanfacine,drug
nitazoxanide,pharmacologic_substance
gd-dota,drug
lansoprazole,pharmacologic_substance
hexestrol,pharmacologic_substance
triclofos,drug
corilagin,drug
xav939,drug
chondrosarcomas,disease
azd9291,pharmacologic_substance
salidroside,pharmacologic_substance
eculizumab,pharmacologic_substance
triploidy,disease_or_syndrome
mln8054,pharmacologic_substance
coagulants,pharmacologic_substance
patella,body_part_organ_or_organ_component
gft505,drug
amylases,pharmacologic_substance
cannabinol,pharmacologic_substance
cenicriviroc,drug
olivacine,drug
an-9,drug
anapsos,drug
mannopyranose,pharmacologic_substance
mk-0591,drug
tc-2153,drug
elq-400,pharmacologic_substance
chonemorphine,drug
aglepristone,drug
gsk2879552,drug
aman,drug
5-iododeoxycytidine,drug
benperidol,pharmacologic_substance
lymphangitis,disease
cuneus,anatomy
copovidone,pharmacologic_substance
nox-a12,drug
cynarin,pharmacologic_substance
morphine-3-glucuronide,pharmacologic_substance
d-apv,pharmacologic_substance
bathocuproine,drug
sulfinpyrazone,drug
ono-1078,drug
cmt-7,drug
dihydrohaloperidol,pharmacologic_substance
temodal,pharmacologic_substance
anastrazole,drug
alimta,drug
mibolerone,pharmacologic_substance
mk-0457,pharmacologic_substance
antispasmodics,pharmacologic_substance
daphnane,drug
pentothal,pharmacologic_substance
arbutamine,drug
dmpt,drug
pinacyanol,pharmacologic_substance
butylidenephthalide,drug
wye-687,drug
megacolon,disease
xofigo,drug
exanthem,disease
nsc-264880,pharmacologic_substance
l-apb,drug
parasympathomimetics,drug
muscle,anatomy
